"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"83","C2orf40","223623_at",1.96e-18,1.14e-19,-10.3,33.8544354,-1.88,"chromosome 2 open reading frame 40","223623_at",0.473,0.04087647,-2.16,-5.716,-1.36,"chromosome 2 open reading frame 40","223623_at",0.00137,0.000367,-4.1016233,-0.411722,-1.53407626,"chromosome 2 open reading frame 40"
"84","C2orf88","228195_at",9.16e-14,8.93e-15,-8.51,22.6854483,-0.938,"chromosome 2 open reading frame 88","228195_at",0.5,0.04796139,-2.09,-5.8594,-0.939,"chromosome 2 open reading frame 88","223754_at",3.3e-07,1.52e-08,8.1128454,9.621489,1.27908667,"chromosome 2 open reading frame 88"
"85","C7","202992_at",9.24e-18,5.75e-19,-10.1,32.244271,-2.22,"complement component 7","202992_at",0.507,0.04986361,-2.07,-5.89411,-1.11,"complement component 7","202992_at",0.0306,0.0142,-2.6329099,-3.906208,-0.64879292,"complement component 7"
"86","C9orf152","229964_at",5.45e-19,2.98e-20,-10.5,35.1802564,-2.1,"chromosome 9 open reading frame 152","229964_at",0.423,0.02900524,-2.33,-5.40447,-1.47,"chromosome 9 open reading frame 152","229964_at",0.0166,0.00689,-2.9389548,-3.232979,-1.77021429,"chromosome 9 open reading frame 152"
"87","CARD14","220599_s_at",8.23e-43,2.89e-45,19.6,92.4640701,2.61,"caspase recruitment domain family member 14","220599_s_at",0.255,0.00489115,3.11,-3.73002,0.6,"caspase recruitment domain family member 14","232608_x_at",0.00365,0.00117,-3.6537645,-1.535099,-0.63647757,"caspase recruitment domain family member 14"
"88","CARHSP1","218384_at",3.15e-40,1.51e-42,18.5,86.2407973,2.97,"calcium regulated heat stable protein 1","218384_at",0.213,0.00227154,3.43,-2.98836,0.925,"calcium regulated heat stable protein 1","218384_at",5.78e-06,5.51e-07,6.6171756,6.033769,1.23033926,"calcium regulated heat stable protein 1"
"89","CASP10","205467_at",1.19e-16,8.48e-18,9.64,29.5763473,0.846,"caspase 10","205467_at",0.201,0.00142652,3.62,-2.53444,0.667,"caspase 10","205467_at",4.85e-05,7.12e-06,5.6112086,3.482997,1.15886075,"caspase 10"
"90","CAT","201432_at",1.34e-23,4.36e-25,-12.3,46.2421806,-0.814,"catalase","211922_s_at",0.32,0.01253229,-2.7,-4.62517,-0.709,"catalase","211922_s_at",0.00142,0.000383,-4.085385,-0.45298,-0.71826995,"catalase"
"91","CBLC","220638_s_at",3.68e-19,1.97e-20,10.6,35.5949624,1.62,"Cbl proto-oncogene C","220638_s_at",0.494,0.04626526,2.1,-5.82721,0.782,"Cbl proto-oncogene C","220638_s_at",0.000121,2.12e-05,-5.1916551,2.399247,-0.99529393,"Cbl proto-oncogene C"
"92","CCL18","32128_at",2.41e-07,4.89e-08,5.71,7.429098,2.36,"C-C motif chemokine ligand 18","32128_at",0.218,0.00244592,3.4,-3.06027,2.86,"C-C motif chemokine ligand 18","209924_at",1.47e-06,1.02e-07,7.3058466,7.720541,2.04037002,"C-C motif chemokine ligand 18"
"93","CCL19","210072_at",0.00204,0.000696,3.46,-1.7533869,0.69,"C-C motif chemokine ligand 19","210072_at",0.338,0.0148703,2.63,-4.78571,1.21,"C-C motif chemokine ligand 19","210072_at",0.000387,8.32e-05,4.6696507,1.046961,1.45066092,"C-C motif chemokine ligand 19"
"94","CCL2","216598_s_at",1.81e-19,9.38e-21,10.7,36.3288424,1.31,"C-C motif chemokine ligand 2","216598_s_at",0.347,0.01591667,2.6,-4.84932,1.6,"C-C motif chemokine ligand 2","216598_s_at",2.56e-05,3.32e-06,5.9073157,4.242402,1.01419715,"C-C motif chemokine ligand 2"
"95","CCL28","238750_at",8.48e-14,8.24e-15,-8.53,22.7652535,-1.05,"C-C motif chemokine ligand 28","238750_at",0.422,0.02858587,-2.33,-5.39114,-0.849,"C-C motif chemokine ligand 28","238750_at",0.00142,0.000382,-4.0861259,-0.451099,-1.21467914,"C-C motif chemokine ligand 28"
"96","CCL5","204655_at",1.03e-08,1.79e-09,6.36,10.6621789,1.27,"C-C motif chemokine ligand 5","204655_at",0.347,0.01598283,2.6,-4.85319,1.1,"C-C motif chemokine ligand 5","1405_i_at",8.68e-11,1.14e-13,14.2290541,21.295289,2.0772895,"C-C motif chemokine ligand 5"
"97","CCR5","206991_s_at",1.87e-14,1.68e-15,8.79,24.3375044,0.77,"C-C motif chemokine receptor 5 (gene/pseudogene)","206991_s_at",0.135,0.00018691,4.43,-0.52532,1.09,"C-C motif chemokine receptor 5 (gene/pseudogene)","206991_s_at",4.31e-08,1.1e-09,9.2925167,12.242364,1.5308092,"C-C motif chemokine receptor 5 (gene/pseudogene)"
"98","CD1B","206749_at",3.83e-06,8.97e-07,5.1,4.601537,1.38,"CD1b molecule","206749_at",0.402,0.02494984,2.4,-5.26627,1.28,"CD1b molecule","206749_at",0.000104,1.77e-05,-5.2598996,2.575945,-1.2204731,"CD1b molecule"
"99","CD2","205831_at",1.34e-19,6.83e-21,10.8,36.6440156,2.23,"CD2 molecule","205831_at",0.222,0.00252007,3.38,-3.08928,1.48,"CD2 molecule","205831_at",1.83e-08,3.47e-10,9.8397225,13.393825,1.64138102,"CD2 molecule"
"100","CD209","207277_at",0.0284,0.0119,2.54,-4.3583503,0.685,"CD209 molecule","207277_at",0.497,0.0469033,2.1,-5.83946,1.14,"CD209 molecule","207277_at",0.000989,0.00025,4.2491331,-0.035539,1.03320278,"CD209 molecule"
"101","CD274","227458_at",3.45e-59,1.39e-62,26.8,132.041535,5.48,"CD274 molecule","227458_at",0.28,0.00806663,2.9,-4.20835,1.5,"CD274 molecule","227458_at",1.83e-08,3.48e-10,9.8381327,13.390538,2.40319878,"CD274 molecule"
"102","CD28","206545_at",1.9e-14,1.7e-15,8.79,24.3234676,1.62,"CD28 molecule","206545_at",0.307,0.01116015,2.76,-4.5159,0.995,"CD28 molecule","206545_at",5.79e-09,7.03e-11,10.6267187,14.98023,2.11270467,"CD28 molecule"
"103","CD3D","213539_at",7.45e-22,2.94e-23,11.6,42.0577166,2.71,"CD3d molecule","213539_at",0.298,0.01021257,2.79,-4.43208,0.915,"CD3d molecule","213539_at",1.51e-08,2.65e-10,9.9698856,13.661816,1.47425468,"CD3d molecule"
"104","CD47","211075_s_at",6.41e-46,1.58e-48,20.8,99.9304614,1.57,"CD47 molecule","211075_s_at",0.349,0.01635437,2.59,-4.87465,1.05,"CD47 molecule","211075_s_at",7.41e-08,2.25e-09,8.9641169,11.531849,0.79263746,"CD47 molecule"
"105","CD48","204118_at",4.2e-09,6.94e-10,6.54,11.5888189,1.61,"CD48 molecule","204118_at",0.391,0.02283456,2.44,-5.1846,0.85,"CD48 molecule","204118_at",3.42e-09,3.25e-11,11.020778,15.744606,1.82937031,"CD48 molecule"
"106","CD53","203416_at",8.25e-13,8.91e-14,8.13,20.4115407,1.07,"CD53 molecule","203416_at",0.283,0.00836362,2.88,-4.24272,1.15,"CD53 molecule","203416_at",2.13e-11,1.29e-14,15.6431931,23.408799,1.4696632,"CD53 molecule"
"107","CD69","209795_at",1.91e-06,4.32e-07,5.26,5.3103596,0.799,"CD69 molecule","209795_at",0.343,0.01529521,2.62,-4.81208,1.04,"CD69 molecule","209795_at",5.84e-05,8.89e-06,5.5253743,3.261881,0.90987204,"CD69 molecule"
"108","CD84","230391_at",0.00064,0.000201,3.8,-0.5881288,0.792,"CD84 molecule","244352_at",0.33,0.01374821,2.66,-4.71217,0.717,"CD84 molecule","211192_s_at",5.78e-05,8.78e-06,5.5302546,3.274463,1.53022873,"CD84 molecule"
"109","CD96","206761_at",3.48e-13,3.62e-14,8.28,21.3013469,1.17,"CD96 molecule","206761_at",0.314,0.01191048,2.73,-4.57726,0.643,"CD96 molecule","1555120_at",4.65e-09,5.06e-11,10.793755,15.306633,1.76361719,"CD96 molecule"
"110","CDC25A","204695_at",1.29e-26,3.02e-28,13.4,53.4754963,1.77,"cell division cycle 25A","204695_at",0.248,0.00434516,3.16,-3.61617,0.642,"cell division cycle 25A","204695_at",0.00072,0.000172,4.3927493,0.332772,0.72872863,"cell division cycle 25A"
"111","CDC25B","201853_s_at",5.78e-26,1.44e-27,13.1,51.922429,0.985,"cell division cycle 25B","201853_s_at",0.121,5.437e-05,4.92,0.71032,0.898,"cell division cycle 25B","201853_s_at",0.000879,0.000218,4.3021352,0.100176,0.69918392,"cell division cycle 25B"
"112","CDC6","203967_at",1.78e-20,8.24e-22,11.1,38.7442956,1.22,"cell division cycle 6","203968_s_at",0.264,0.00632183,3,-3.97593,1.18,"cell division cycle 6","203968_s_at",5.84e-05,8.89e-06,5.5255023,3.262211,0.9106904,"cell division cycle 6"
"113","CDCP1","218451_at",1.2e-14,1.05e-15,8.87,24.8032187,0.815,"CUB domain containing protein 1","218451_at",0.372,0.01963887,2.51,-5.04503,0.711,"CUB domain containing protein 1","1554110_at",0.000107,1.82e-05,5.249682,2.549497,0.89322555,"CUB domain containing protein 1"
"114","CDH11","236179_at",1.52e-07,3e-08,-5.81,7.9032189,-1.52,"cadherin 11","236179_at",0.429,0.03014762,-2.31,-5.43978,-0.99,"cadherin 11","207172_s_at",1.82e-09,1.32e-11,11.4948717,16.638637,2.26337349,"cadherin 11"
"115","CDH19","206898_at",2.8e-26,6.81e-28,-13.2,52.667926,-2.61,"cadherin 19","206898_at",0.408,0.02628558,-2.37,-5.31422,-1.08,"cadherin 19","206898_at",0.0431,0.0212,-2.4547899,-4.278622,-1.16582633,"cadherin 19"
"116","CDKN1C","213348_at",1.61e-14,1.42e-15,-8.82,24.5011212,-0.956,"cyclin dependent kinase inhibitor 1C","216894_x_at",0.242,0.0037293,-3.22,-3.46882,-0.79,"cyclin dependent kinase inhibitor 1C","216894_x_at",4.33e-07,2.15e-08,7.9634233,9.276008,0.71826685,"cyclin dependent kinase inhibitor 1C"
"117","CDKN3","1555758_a_at",3.21e-33,3.42e-35,15.8,69.3911317,3.34,"cyclin dependent kinase inhibitor 3","1555758_a_at",0.318,0.01235728,2.71,-4.61193,1.62,"cyclin dependent kinase inhibitor 3","1555758_a_at",0.00055,0.000125,4.5137294,0.644267,0.91498821,"cyclin dependent kinase inhibitor 3"
"118","CEMIP","212942_s_at",1.74e-30,2.52e-32,14.8,62.8211213,2.19,"cell migration inducing hyaluronan binding protein","212942_s_at",0.351,0.01650912,2.58,-4.88345,1.46,"cell migration inducing hyaluronan binding protein","212942_s_at",5.74e-07,3.11e-08,7.8061049,8.909039,3.02039901,"cell migration inducing hyaluronan binding protein"
"119","CENPN","228559_at",1.74e-22,6.36e-24,11.8,43.5782638,2.57,"centromere protein N","222118_at",0.385,0.02185279,2.46,-5.14399,0.917,"centromere protein N","222118_at",0.000315,6.51e-05,4.7627567,1.287892,1.04638015,"centromere protein N"
"120","CEP126","236325_at",2.44e-09,3.93e-10,-6.65,12.1480539,-0.906,"centrosomal protein 126","235956_at",0.473,0.04096329,-2.16,-5.71792,-0.626,"centrosomal protein 126","236325_at",1.87e-05,2.29e-06,-6.0526683,4.612883,-1.09065089,"centrosomal protein 126"
"121","CEP135","207286_at",3.73e-14,3.46e-15,-8.67,23.6232089,-1.23,"centrosomal protein 135","207286_at",0.304,0.01073835,2.77,-4.47953,0.946,"centrosomal protein 135","207286_at",1.37e-05,1.57e-06,-6.200773,4.988578,-0.7641945,"centrosomal protein 135"
"122","CFB","202357_s_at",1.46e-31,1.86e-33,15.2,65.4163795,1.88,"complement factor B","202357_s_at",0.449,0.03518966,2.24,-5.58057,0.806,"complement factor B","202357_s_at",9.59e-10,4.94e-12,12.0253988,17.607014,2.44847595,"complement factor B"
"123","CH25H","206932_at",3.8e-22,1.45e-23,11.7,42.7616598,2.17,"cholesterol 25-hydroxylase","206932_at",0.279,0.00792109,2.9,-4.19103,1.64,"cholesterol 25-hydroxylase","206932_at",1.69e-05,2.02e-06,6.1022035,4.738749,1.68795217,"cholesterol 25-hydroxylase"
"124","CHEK1","205393_s_at",3.12e-41,1.3e-43,18.9,88.6822826,2.78,"checkpoint kinase 1","205394_at",0.292,0.00931041,2.83,-4.3445,1.39,"checkpoint kinase 1","205394_at",0.00418,0.00137,3.590317,-1.691293,0.71358192,"checkpoint kinase 1"
"125","CHN1","212624_s_at",2.24e-05,5.76e-06,4.68,2.806444,0.714,"chimerin 1","212624_s_at",0.347,0.01586616,2.6,-4.84635,0.606,"chimerin 1","212624_s_at",6.19e-11,7.12e-14,14.5266991,21.755455,2.07908288,"chimerin 1"
"126","CHPT1","221675_s_at",6.13e-34,5.98e-36,-16.1,71.1261803,-1.22,"choline phosphotransferase 1","230364_at",0.248,0.00443069,-3.15,-3.63494,-0.588,"choline phosphotransferase 1","1559739_at",0.00013,2.31e-05,-5.1585367,2.313461,-1.33982171,"choline phosphotransferase 1"
"127","CLDN8","214598_at",4.53e-36,3.55e-38,-16.9,76.2275526,-2.91,"claudin 8","214598_at",0.316,0.01211175,-2.72,-4.59304,-1.77,"claudin 8","214598_at",0.00433,0.00143,-3.5746834,-1.729645,-1.72899047,"claudin 8"
"128","CLEC7A","1555756_a_at",1.47e-51,1.64e-54,23.3,113.6134111,4.87,"C-type lectin domain family 7 member A","1555756_a_at",0.236,0.00324531,3.28,-3.33447,2.79,"C-type lectin domain family 7 member A","1555756_a_at",3.41e-07,1.58e-08,8.095348,9.581189,1.55200532,"C-type lectin domain family 7 member A"
"129","CLIC5","213317_at",7.85e-17,5.47e-18,-9.71,30.0107535,-1.75,"chloride intracellular channel 5","213317_at",0.154,0.0004706,-4.06,-1.44265,-1.36,"chloride intracellular channel 5","243917_at",1.02e-07,3.38e-09,8.7789958,11.124837,1.48127824,"chloride intracellular channel 5"
"130","CLMN","213839_at",6.14e-13,6.54e-14,-8.18,20.7175774,-1.05,"calmin","213839_at",0.503,0.04909211,-2.08,-5.88021,-0.615,"calmin","221042_s_at",0.000104,1.76e-05,5.2621317,2.581722,0.95468534,"calmin"
"131","CLMP","228082_at",2.93e-14,2.69e-15,-8.71,23.8711704,-1.41,"CXADR like membrane protein","228082_at",0.165,0.00063415,-3.94,-1.73749,-1.67,"CXADR like membrane protein","228082_at",3.01e-06,2.5e-07,6.9376925,6.825748,0.94569685,"CXADR like membrane protein"
"132","CMPK2","226702_at",4.11e-33,4.41e-35,15.8,69.1385806,2.81,"cytidine/uridine monophosphate kinase 2","226702_at",0.46,0.03789033,2.2,-5.64754,1.06,"cytidine/uridine monophosphate kinase 2","226702_at",2.31e-08,4.79e-10,9.6856657,13.073722,1.45126477,"cytidine/uridine monophosphate kinase 2"
"133","CMYA5","237981_at",1.32e-13,1.31e-14,-8.45,22.3055165,-1.27,"cardiomyopathy associated 5","233520_s_at",0.394,0.02324154,-2.43,-5.20091,-0.924,"cardiomyopathy associated 5","233520_s_at",9.8e-07,6.05e-08,-7.5236299,8.241921,-1.35384203,"cardiomyopathy associated 5"
"134","CNGA1","206417_at",9.42e-16,7.37e-17,-9.3,27.4328726,-1.04,"cyclic nucleotide gated channel alpha 1","206417_at",0.266,0.0067664,-2.97,-4.04086,-0.849,"cyclic nucleotide gated channel alpha 1","206417_at",0.000126,2.21e-05,-5.1748186,2.355639,-1.32445148,"cyclic nucleotide gated channel alpha 1"
"135","CNKSR2","229116_at",9.35e-22,3.73e-23,-11.6,41.8189549,-2.15,"connector enhancer of kinase suppressor of Ras 2","229116_at",0.296,0.0100204,-2.8,-4.4141,-1.39,"connector enhancer of kinase suppressor of Ras 2","229116_at",3.7e-11,2.71e-14,-15.1487123,22.690367,-1.8889626,"connector enhancer of kinase suppressor of Ras 2"
"136","CNTN4","229084_at",8.29e-10,1.27e-10,-6.86,13.258212,-1.4,"contactin 4","229084_at",0.213,0.00223907,-3.43,-2.97436,-1.16,"contactin 4","237177_at",3.45e-08,8.16e-10,9.4333182,12.542505,1.9263671,"contactin 4"
"137","COBL","1552496_a_at",2.05e-10,2.92e-11,-7.12,14.7026581,-1.12,"cordon-bleu WH2 repeat protein","213050_at",0.401,0.02447342,-2.4,-5.24852,-0.702,"cordon-bleu WH2 repeat protein","1552496_a_at",2.93e-08,6.55e-10,-9.5368887,12.76157,-2.01003945,"cordon-bleu WH2 repeat protein"
"138","COBLL1","203641_s_at",3.59e-10,5.27e-11,7.02,14.1199927,1.14,"cordon-bleu WH2 repeat protein like 1","229598_at",0.216,0.00233094,-3.42,-3.01346,-0.921,"cordon-bleu WH2 repeat protein like 1","229598_at",1.2e-05,1.33e-06,-6.266385,5.15439,-0.9253559,"cordon-bleu WH2 repeat protein like 1"
"139","COL4A4","229779_at",5.5e-07,1.16e-07,5.54,6.5848378,1.76,"collagen type IV alpha 4 chain","229779_at",0.347,0.01603527,2.6,-4.85625,1.95,"collagen type IV alpha 4 chain","229779_at",1.51e-08,2.66e-10,9.967402,13.656723,3.18829831,"collagen type IV alpha 4 chain"
"140","COL6A6","230867_at",0.0107,0.00412,2.91,-3.3981402,1.04,"collagen type VI alpha 6 chain","230867_at",0.347,0.01606499,2.6,-4.85798,2.31,"collagen type VI alpha 6 chain","230867_at",1.42e-06,9.74e-08,7.3247864,7.766122,2.10945829,"collagen type VI alpha 6 chain"
"141","COPG2IT1","213486_at",6.34e-13,6.77e-14,-8.18,20.6831959,-1.97,"COPG2 imprinted transcript 1 (non-protein coding)","213486_at",0.406,0.02577776,-2.38,-5.29629,-1.17,"COPG2 imprinted transcript 1 (non-protein coding)","213486_at",0.00148,0.000403,-4.0663266,-0.501362,-1.82942063,"COPG2 imprinted transcript 1 (non-protein coding)"
"142","CORO1A","209083_at",1.86e-08,3.31e-09,6.25,10.0576338,0.992,"coronin 1A","209083_at",0.211,0.00193039,3.49,-2.82989,1.28,"coronin 1A","209083_at",2.54e-07,1.1e-08,8.2540769,9.945263,1.4241105,"coronin 1A"
"143","COTL1","1556346_at",8.77e-11,1.2e-11,7.28,15.5793187,0.924,"coactosin like F-actin binding protein 1","224583_at",0.293,0.00952915,2.82,-4.36651,1.17,"coactosin like F-actin binding protein 1","221059_s_at",4.33e-10,1.28e-12,12.7853501,18.937696,1.41011596,"coactosin like F-actin binding protein 1"
"144","CPE","201117_s_at",1.28e-19,6.54e-21,-10.8,36.6872408,-0.804,"carboxypeptidase E","201116_s_at",0.386,0.02213497,-2.45,-5.15586,-0.761,"carboxypeptidase E","201116_s_at",0.00442,0.00146,3.5649289,-1.753547,0.6441936,"carboxypeptidase E"
"145","CPEB3","239765_at",1.71e-17,1.1e-18,-9.97,31.5992996,-2.12,"cytoplasmic polyadenylation element binding protein 3","239765_at",0.503,0.04863415,-2.08,-5.87184,-1.44,"cytoplasmic polyadenylation element binding protein 3","205773_at",4.56e-05,6.61e-06,-5.6397422,3.556415,-0.67034309,"cytoplasmic polyadenylation element binding protein 3"
"146","CRTAP","201380_at",2.41e-17,1.58e-18,-9.91,31.2438371,-0.767,"cartilage associated protein","226656_at",0.433,0.03096843,-2.3,-5.46431,-0.608,"cartilage associated protein","227138_at",4.07e-06,3.61e-07,-6.7877445,6.456678,-0.70381426,"cartilage associated protein"
"147","CRYAB","209283_at",6.1e-28,1.21e-29,-13.9,56.673892,-1.33,"crystallin alpha B","209283_at",0.167,0.00068459,-3.91,-1.81302,-1.15,"crystallin alpha B","209283_at",0.000522,0.000118,-4.536596,0.703248,-0.72159762,"crystallin alpha B"
"148","CSF2RB","205159_at",2.06e-15,1.67e-16,9.16,26.625645,1.06,"colony stimulating factor 2 receptor beta common subunit","205159_at",0.186,0.00100851,3.76,-2.19441,1.21,"colony stimulating factor 2 receptor beta common subunit","205159_at",1.39e-06,9.47e-08,7.3363029,7.793816,1.09978604,"colony stimulating factor 2 receptor beta common subunit"
"149","CSNK1A1","243338_at",2.79e-30,4.14e-32,14.7,62.3256991,1.38,"casein kinase 1 alpha 1","1556007_s_at",0.204,0.00175953,3.53,-2.73949,0.679,"casein kinase 1 alpha 1","235464_at",0.000685,0.000162,-4.4158101,0.39207,-0.62801906,"casein kinase 1 alpha 1"
"150","CST7","210140_at",4.66e-25,1.3e-26,12.8,49.7376973,2.74,"cystatin F","210140_at",0.416,0.02778728,2.35,-5.36519,0.753,"cystatin F","210140_at",1.23e-07,4.29e-09,8.6714054,10.886132,1.2643703,"cystatin F"
"151","CTLA4","236341_at",1.83e-39,9.63e-42,18.2,84.3981742,4.09,"cytotoxic T-lymphocyte associated protein 4","236341_at",0.413,0.02707539,2.36,-5.34139,0.87,"cytotoxic T-lymphocyte associated protein 4","234362_s_at",4.4e-07,2.19e-08,7.9548385,9.256068,1.78910389,"cytotoxic T-lymphocyte associated protein 4"
"152","CTPS1","202613_at",7.84e-34,7.74e-36,16.1,70.8690172,1.65,"CTP synthase 1","202613_at",0.212,0.00205645,3.47,-2.89154,0.676,"CTP synthase 1","202613_at",0.000488,0.000109,4.5664173,0.780209,0.64704628,"CTP synthase 1"
"153","CTSC","225647_s_at",2.12e-16,1.54e-17,9.55,28.9840675,1.27,"cathepsin C","225646_at",0.236,0.0033087,3.27,-3.35318,1.07,"cathepsin C","225647_s_at",2.54e-08,5.4e-10,9.6283233,12.953763,1.15357428,"cathepsin C"
"154","CXCL1","204470_at",3.16e-41,1.32e-43,18.9,88.6649726,6.18,"C-X-C motif chemokine ligand 1","204470_at",0.481,0.04249884,2.15,-5.75103,1.66,"C-X-C motif chemokine ligand 1","204470_at",3.83e-09,3.81e-11,10.939144,15.587862,4.30052311,"C-X-C motif chemokine ligand 1"
"155","CXCL2","209774_x_at",1.62e-32,1.83e-34,15.6,67.7201555,3.96,"C-X-C motif chemokine ligand 2","209774_x_at",0.394,0.02328669,2.43,-5.2027,0.904,"C-X-C motif chemokine ligand 2","209774_x_at",1.76e-08,3.29e-10,9.8659051,13.447913,3.11028963,"C-X-C motif chemokine ligand 2"
"156","CXCL8","202859_x_at",2.79e-44,8.56e-47,20.2,95.9634152,6.75,"C-X-C motif chemokine ligand 8","202859_x_at",0.247,0.00431494,3.16,-3.60945,3.3,"C-X-C motif chemokine ligand 8","211506_s_at",4.47e-05,6.44e-06,5.6499343,3.582628,3.59963039,"C-X-C motif chemokine ligand 8"
"157","CYB561D2","209665_at",1.39e-20,6.33e-22,11.1,39.0071011,0.938,"cytochrome b561 family member D2","229636_at",0.406,0.02571901,-2.38,-5.2942,-0.867,"cytochrome b561 family member D2","209665_at",2.74e-07,1.21e-08,8.2124529,9.850121,1.01944016,"cytochrome b561 family member D2"
"158","CYLD","221903_s_at",5.33e-33,5.79e-35,15.8,68.8666269,1.89,"CYLD lysine 63 deubiquitinase","221903_s_at",0.301,0.01041066,2.79,-4.45024,0.92,"CYLD lysine 63 deubiquitinase","221903_s_at",1.36e-06,9.23e-08,7.3473816,7.820442,0.85637516,"CYLD lysine 63 deubiquitinase"
"159","CYP2J2","205073_at",5.38e-17,3.67e-18,-9.78,30.4062656,-1.81,"cytochrome P450 family 2 subfamily J member 2","205073_at",0.421,0.02839643,-2.34,-5.38505,-0.961,"cytochrome P450 family 2 subfamily J member 2","205073_at",5.85e-06,5.59e-07,-6.6113408,6.019246,-1.99588535,"cytochrome P450 family 2 subfamily J member 2"
"160","CYP7B1","207386_at",5.95e-42,2.28e-44,19.2,90.4128098,2.38,"cytochrome P450 family 7 subfamily B member 1","207386_at",0.184,0.00093862,3.78,-2.12383,1.46,"cytochrome P450 family 7 subfamily B member 1","207386_at",1.62e-05,1.91e-06,6.1233264,4.792358,1.6532353,"cytochrome P450 family 7 subfamily B member 1"
"161","CYTIP","209606_at",3.99e-14,3.72e-15,8.66,23.5511653,1.33,"cytohesin 1 interacting protein","209606_at",0.242,0.0037055,3.22,-3.46264,1.56,"cytohesin 1 interacting protein","209606_at",2.78e-09,2.4e-11,11.1785771,16.045244,1.81614754,"cytohesin 1 interacting protein"
