"","Gene.symbol","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"364","IFIH1","ILMN_1781373",0.02227709,0.00359,3.1475758,-2.14062,1.4961139,"interferon induced with helicase C domain 1","216020_at",5.84e-05,8.89e-06,5.5253744,3.261881,0.7290456,"interferon induced with helicase C domain 1"
"365","IFIT2","ILMN_1739428",0.02856362,0.00512,3.0096013,-2.4669,0.9894957,"interferon induced protein with tetratricopeptide repeats 2","217502_at",0.0154,0.00631,2.9754196,-3.150254,0.7183423,"interferon induced protein with tetratricopeptide repeats 2"
"366","IFIT3","ILMN_1701789",0.00180017,9.15e-05,4.483469,1.30891,1.2616743,"interferon induced protein with tetratricopeptide repeats 3","204747_at",1.38e-05,1.58e-06,6.1973881,4.980013,1.1574455,"interferon induced protein with tetratricopeptide repeats 3"
"367","IFITM1","ILMN_1801246",0.04179289,0.00865,2.800471,-2.94604,0.8471206,"interferon induced transmembrane protein 1","214022_s_at",1.21e-06,7.88e-08,7.4131169,7.978104,0.77739142,"interferon induced transmembrane protein 1"
"368","IFNGR1","ILMN_1675939",0.00548832,0.000476,3.8983182,-0.25294,1.1685715,"interferon gamma receptor 1","242903_at",0.00843,0.00311,-3.26474,-2.477577,-0.82854387,"interferon gamma receptor 1"
"369","IFNLR1","ILMN_1680805",0.00157202,7.33e-05,-4.5613153,1.52038,-0.6719468,"interferon lambda receptor 1","244261_at",7.1e-05,1.12e-05,-5.4365325,3.032639,-0.72955725,"interferon lambda receptor 1"
"370","IGFLR1","ILMN_1786426",0.02019739,0.00313,-3.2004026,-2.01372,-0.8312389,"IGF like family receptor 1","219690_at",9.25e-09,1.39e-10,10.2854892,14.302318,1.45223781,"IGF like family receptor 1"
"371","IGSF9","ILMN_1693941",0.00983635,0.00111,-3.588934,-1.05084,-0.6987428,"immunoglobulin superfamily member 9","229276_at",1.46e-07,5.39e-09,-8.569329,10.658197,-1.42076935,"immunoglobulin superfamily member 9"
"372","IL17RA","ILMN_1728724",0.02192252,0.00352,-3.1553974,-2.1219,-0.5850308,"interleukin 17 receptor A","229295_at",5.8e-05,8.81e-06,5.528809,3.270736,0.96335638,"interleukin 17 receptor A"
"373","IL17RE","ILMN_2409876",0.00017346,2.42e-06,-5.7459438,4.77837,-0.7804542,"interleukin 17 receptor E","229401_at",5.27e-07,2.78e-08,-7.8528062,9.018321,-1.33280283,"interleukin 17 receptor E"
"374","IL18BP","ILMN_2334296",0.03180635,0.00598,-2.9485844,-2.60869,-0.6984518,"interleukin 18 binding protein","222868_s_at",8.31e-08,2.57e-09,8.902278,11.39641,1.69189855,"interleukin 18 binding protein"
"375","IL18R1","ILMN_1781700",0.02077345,0.00326,3.1852011,-2.05035,1.127875,"interleukin 18 receptor 1","206618_at",0.000772,0.000187,4.3607354,0.250519,0.8285444,"interleukin 18 receptor 1"
"376","IL22RA1","ILMN_1666175",0.04209429,0.00875,-2.7961041,-2.95583,-0.6422679,"interleukin 22 receptor subunit alpha 1","220056_at",6.5e-07,3.62e-08,-7.7408923,8.755957,-1.83020892,"interleukin 22 receptor subunit alpha 1"
"377","IL6ST","ILMN_1849013",0.02998051,0.0055,2.9818001,-2.5317,1.035688,"interleukin 6 signal transducer","234474_x_at",0.0181,0.0076,-2.8976257,-3.326131,-0.64808228,"interleukin 6 signal transducer"
"378","INF2","ILMN_2393450",0.0214395,0.00341,-3.1676145,-2.09261,-0.7899327,"inverted formin, FH2 and WH2 domain containing","224469_s_at",4.55e-05,6.59e-06,5.6408291,3.55921,0.7347196,"inverted formin, FH2 and WH2 domain containing"
"379","IPO11","ILMN_1684746",0.0498139,0.011,2.7028795,-3.16272,0.637689,"importin 11","1557770_at",6.49e-06,6.32e-07,-6.5622352,5.896875,-0.65913128,"importin 11"
"380","IQCK","ILMN_2081883",0.02282802,0.00373,3.1329326,-2.1756,0.5996616,"IQ motif containing K","216135_at",8.69e-06,9.01e-07,-6.4210016,5.543517,-0.59899311,"IQ motif containing K"
