"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"131","ANKFN1","1553211_at",8.19e-05,2.27e-05,-4.36,1.4886924,-0.606,"ankyrin repeat and fibronectin type III domain containing 1","1553211_at",1.65e-06,1.17e-07,-7.2495847,7.584873,-2.80199111,"ankyrin repeat and fibronectin type III domain containing 1"
"132","ANKH","223092_at",4.34e-24,1.34e-25,-12.4,47.4128404,-0.619,"ANKH inorganic pyrophosphate transport regulator","223093_at",4.74e-05,6.93e-06,-5.621735,3.510087,-0.62075677,"ANKH inorganic pyrophosphate transport regulator"
"133","ANKHD1-EIF4EBP3","219081_at",3.22e-11,4.17e-12,7.47,16.6175299,0.658,"ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1","233292_s_at",0.00842,0.0031,-3.2652048,-2.476475,-0.60688594,"ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1"
"134","ANKRD13C","1556361_s_at",1.16e-37,7.81e-40,17.5,80.0250518,3.82,"ankyrin repeat domain 13C","1556361_s_at",0.0083,0.00305,-3.2716426,-2.461203,-0.61391862,"ankyrin repeat domain 13C"
"135","ANKRD18A","244297_at",4.78e-13,5.04e-14,-8.22,20.9745736,-1.62,"ankyrin repeat domain 18A","1559313_at",2.07e-05,2.58e-06,-6.0061125,4.494402,-0.60284076,"ankyrin repeat domain 18A"
"136","ANKRD33B","231963_at",5.12e-20,2.5e-21,-10.9,37.6418246,-2.22,"ankyrin repeat domain 33B","231963_at",1.08e-06,6.89e-08,-7.4693939,8.112644,-1.47466648,"ankyrin repeat domain 33B"
"137","ANKRD36B","220940_at",1.65e-15,1.32e-16,-9.2,26.8542467,-0.792,"ankyrin repeat domain 36B","220940_at",0.000765,0.000185,-4.3645145,0.260224,-0.97253333,"ankyrin repeat domain 36B"
"138","ANKRD36C","1555898_at",4.46e-19,2.41e-20,-10.6,35.3916684,-1.7,"ankyrin repeat domain 36C","1555898_at",0.00175,0.000491,-3.989367,-0.696242,-0.97114338,"ankyrin repeat domain 36C"
"139","ANLN","1552619_a_at",8.14e-16,6.33e-17,9.32,27.5838447,1.36,"anillin actin binding protein","222608_s_at",0.00146,0.000397,-4.0713383,-0.488644,-0.74879019,"anillin actin binding protein"
"140","ANP32A","201051_at",8.02e-16,6.24e-17,-9.32,27.5987768,-0.637,"acidic nuclear phosphoprotein 32 family member A","201043_s_at",1.52e-07,5.68e-09,8.5460847,10.606094,0.67383307,"acidic nuclear phosphoprotein 32 family member A"
"141","ANTXR1","227660_at",3.12e-05,8.17e-06,4.6,2.4690665,0.852,"anthrax toxin receptor 1","227660_at",2.9e-09,2.56e-11,11.1459327,15.983303,1.64969908,"anthrax toxin receptor 1"
"142","ANTXR2","225524_at",1.03e-09,1.59e-10,-6.82,13.0346412,-0.794,"anthrax toxin receptor 2","228573_at",4.9e-05,7.2e-06,5.606768,3.471568,0.68704399,"anthrax toxin receptor 2"
"143","ANXA11","214783_s_at",1.35e-20,6.13e-22,-11.1,39.0386821,-1.04,"annexin A11","228727_at",0.000263,5.27e-05,-4.8432767,1.496442,-0.79289033,"annexin A11"
"144","ANXA6","200982_s_at",1.44e-12,1.6e-13,-8.03,19.8333135,-0.642,"annexin A6","200982_s_at",5.32e-07,2.82e-08,7.8471043,9.004994,0.9247419,"annexin A6"
"145","ANXA9","210085_s_at",4.49e-11,5.91e-12,7.41,16.2744726,2.64,"annexin A9","211712_s_at",0.00012,2.09e-05,-5.1961263,2.410827,-1.36625631,"annexin A9"
"146","AOAH","205639_at",3.76e-07,7.8e-08,5.62,6.9736378,0.606,"acyloxyacyl hydrolase","205639_at",1.21e-08,1.99e-10,10.1104124,13.948625,2.4412661,"acyloxyacyl hydrolase"
"147","AP1M2","65517_at",5.09e-15,4.31e-16,9.01,25.6843105,1.05,"adaptor related protein complex 1 mu 2 subunit","65517_at",0.000191,3.62e-05,-4.9874401,1.870057,-0.86540885,"adaptor related protein complex 1 mu 2 subunit"
"148","AP2B1","200612_s_at",6.26e-07,1.33e-07,-5.51,6.4524733,-0.596,"adaptor related protein complex 2 beta 1 subunit","200615_s_at",3.16e-07,1.44e-08,8.136102,9.674991,1.05064881,"adaptor related protein complex 2 beta 1 subunit"
"149","AP5S1","219706_at",5.25e-17,3.57e-18,9.78,30.4326435,0.973,"adaptor related protein complex 5 sigma 1 subunit","219706_at",3.59e-06,3.1e-07,6.8497004,6.609486,0.70080111,"adaptor related protein complex 5 sigma 1 subunit"
"150","APC","203526_s_at",1.03e-05,2.55e-06,4.87,3.5913317,0.585,"APC, WNT signaling pathway regulator","215310_at",0.000788,0.000192,-4.3509529,0.225401,-0.83557655,"APC, WNT signaling pathway regulator"
"151","APELA","1559280_a_at",6.32e-14,6.03e-15,8.58,23.0736433,2.51,"apelin receptor early endogenous ligand","1559280_a_at",0.000828,0.000203,4.328938,0.168904,1.38793324,"apelin receptor early endogenous ligand"
"152","APH1B","226358_at",4.08e-24,1.26e-25,-12.4,47.4776181,-1.13,"aph-1 homolog B, gamma-secretase subunit","221036_s_at",1.33e-10,2.17e-13,13.8327126,20.669198,1.34269748,"aph-1 homolog B, gamma-secretase subunit"
"153","APLNR","213592_at",3.54e-05,9.33e-06,-4.57,2.3415024,-0.75,"apelin receptor","213592_at",1.43e-07,5.24e-09,8.5824833,10.68765,1.35430511,"apelin receptor"
"154","APOBEC3A_B","210873_x_at",1.21e-15,9.62e-17,9.25,27.1690234,2.61,"APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A","210873_x_at",1.3e-05,1.47e-06,6.227066,5.055072,2.83195664,"APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A"
"155","APOBEC3B","206632_s_at",1.1e-23,3.55e-25,12.3,46.4465341,2.42,"apolipoprotein B mRNA editing enzyme catalytic subunit 3B","206632_s_at",0.00163,0.000454,4.0200047,-0.618756,1.07666831,"apolipoprotein B mRNA editing enzyme catalytic subunit 3B"
"156","APOBEC3G","204205_at",3.12e-06,7.21e-07,5.15,4.8122069,0.848,"apolipoprotein B mRNA editing enzyme catalytic subunit 3G","204205_at",2.66e-10,6.32e-13,13.1938895,19.626772,1.74135656,"apolipoprotein B mRNA editing enzyme catalytic subunit 3G"
"157","APOC1","213553_x_at",1.07e-13,1.05e-14,-8.49,22.5276256,-1.86,"apolipoprotein C1","204416_x_at",5e-05,7.37e-06,5.5975211,3.447763,1.82475217,"apolipoprotein C1"
"158","APOD","201525_at",6.99e-21,3.09e-22,-11.2,39.7184492,-0.881,"apolipoprotein D","201525_at",0.0434,0.0214,-2.4509338,-4.28651,-0.59472934,"apolipoprotein D"
"159","APOE","212884_x_at",3.24e-16,2.41e-17,-9.48,28.5397996,-0.674,"apolipoprotein E","212883_at",0.00269,0.000817,3.7923091,-1.191199,0.98180058,NA
"160","APOL1","209546_s_at",1.12e-37,7.51e-40,17.5,80.063329,2.68,"apolipoprotein L1","209546_s_at",2.4e-06,1.89e-07,7.0510296,7.102962,1.96149377,"apolipoprotein L1"
"161","APOL2","221013_s_at",7.99e-24,2.54e-25,12.3,46.7775457,1.43,"apolipoprotein L2","221653_x_at",1.57e-07,5.93e-09,8.5272796,10.563887,0.88423531,"apolipoprotein L2"
"162","APOL6","219716_at",3.02e-49,4.63e-52,22.3,108.0123168,4.39,"apolipoprotein L6","219716_at",2.39e-07,1.01e-08,8.2905594,10.02846,2.02208204,"apolipoprotein L6"
"163","APOOL","222269_at",1.41e-24,4.18e-26,12.6,48.5722682,1.97,"apolipoprotein O like","213289_at",0.000191,3.63e-05,-4.9863421,1.867211,-0.70300888,"apolipoprotein O like"
"164","APTR","238126_at",2.76e-05,7.18e-06,-4.63,2.5930413,-0.673,"Alu-mediated CDKN1A/p21 transcriptional regulator (non-protein coding)","238126_at",0.00116,0.000303,-4.1760418,-0.222238,-0.61749919,"Alu-mediated CDKN1A/p21 transcriptional regulator (non-protein coding)"
"165","AQR","212583_at",0.00127,0.00042,-3.6,-1.2795217,-0.615,"aquarius intron-binding spliceosomal factor","228694_at",1.4e-05,1.61e-06,-6.1907552,4.963227,-0.6008931,"aquarius intron-binding spliceosomal factor"
"166","AR","211621_at",3.66e-14,3.4e-15,-8.67,23.6402874,-0.629,"androgen receptor","226197_at",0.00197,0.000564,-3.9358778,-0.831199,-0.84481639,"androgen receptor"
"167","ARF3","211622_s_at",3.82e-28,7.42e-30,13.9,57.1635838,2.27,"ADP ribosylation factor 3","211622_s_at",3.95e-06,3.48e-07,6.8026889,6.493577,0.75783611,"ADP ribosylation factor 3"
"168","ARF4","201096_s_at",1.59e-17,1.02e-18,9.98,31.6787872,0.867,"ADP ribosylation factor 4","201096_s_at",1.62e-07,6.18e-09,8.5087248,10.522195,0.77242583,"ADP ribosylation factor 4"
"169","ARFGEF3","228051_at",3.83e-27,8.46e-29,-13.6,54.7422543,-2.5,"ARFGEF family member 3","236037_at",0.00294,0.000906,-3.7524372,-1.290547,-0.6974175,"ARFGEF family member 3"
"170","ARG1","231663_s_at",9.66e-32,1.21e-33,15.3,65.8401353,4.59,"arginase 1","206177_s_at",0.00513,0.00174,-3.4956325,-1.922715,-0.99763775,"arginase 1"
"171","ARG2","203946_s_at",5.91e-28,1.17e-29,13.9,56.7068687,2.57,"arginase 2","203946_s_at",3.44e-05,4.72e-06,5.770725,3.892812,1.0180744,"arginase 2"
"172","ARHGAP18","225173_at",0.000992,0.000321,-3.67,-1.0284884,-0.821,"Rho GTPase activating protein 18","225173_at",0.0015,0.00041,4.0593993,-0.518936,0.72293578,"Rho GTPase activating protein 18"
"173","ARHGAP25","204882_at",5.23e-12,6.19e-13,7.8,18.4990817,0.882,"Rho GTPase activating protein 25","38149_at",4.84e-08,1.29e-09,9.2210561,12.089005,1.21099079,"Rho GTPase activating protein 25"
"174","ARHGAP28","227911_at",3.75e-05,9.93e-06,4.56,2.2814984,0.983,"Rho GTPase activating protein 28","227911_at",3.98e-07,1.95e-08,8.0064286,9.375749,1.7142784,"Rho GTPase activating protein 28"
"175","ARHGAP29","1560318_at",0.000556,0.000173,-3.84,-0.4449599,-0.763,"Rho GTPase activating protein 29","1554736_at",7.05e-05,1.11e-05,-5.4393996,3.040042,-0.91756268,"Rho GTPase activating protein 29"
"176","ARHGAP30","226219_at",3.91e-07,8.12e-08,5.61,6.9340858,0.589,"Rho GTPase activating protein 30","226219_at",2.34e-06,1.82e-07,7.0660291,7.139535,1.11754687,"Rho GTPase activating protein 30"
"177","ARHGAP32","242196_at",2.23e-20,1.04e-21,11.1,38.5111926,0.827,"Rho GTPase activating protein 32","242196_at",2.02e-05,2.5e-06,-6.0175773,4.523595,-0.91626745,"Rho GTPase activating protein 32"
"178","ARHGAP45","212873_at",9.49e-08,1.83e-08,5.91,8.3871278,0.694,"Rho GTPase activating protein 45","212873_at",7.42e-06,7.45e-07,6.4967705,5.733342,1.15869667,"Rho GTPase activating protein 45"
"179","ARHGAP9","224451_x_at",1.4e-12,1.55e-13,8.03,19.8646722,1.19,"Rho GTPase activating protein 9","224451_x_at",3.6e-09,3.51e-11,10.9811578,15.668636,1.63014327,"Rho GTPase activating protein 9"
"180","ARHGEF10","216620_s_at",3.22e-16,2.4e-17,-9.48,28.5466981,-0.893,"Rho guanine nucleotide exchange factor 10","1554213_at",2.68e-05,3.51e-06,-5.8858202,4.187474,-1.14710883,"Rho guanine nucleotide exchange factor 10"
"181","ARHGEF12","234541_s_at",1.74e-08,3.08e-09,-6.26,10.1283169,-1.13,"Rho guanine nucleotide exchange factor 12","234544_at",1.82e-05,2.22e-06,-6.0653073,4.645018,-0.72496844,"Rho guanine nucleotide exchange factor 12"
"182","ARHGEF26","222121_at",4.01e-07,8.36e-08,-5.6,6.9057011,-0.811,"Rho guanine nucleotide exchange factor 26","222121_at",3.7e-08,9.02e-10,-9.3863941,12.442777,-1.83672222,"Rho guanine nucleotide exchange factor 26"
"183","ARHGEF28","1559706_at",1.2e-07,2.35e-08,-5.86,8.1409215,-0.661,"Rho guanine nucleotide exchange factor 28","1560348_at",3.95e-06,3.49e-07,-6.8018383,6.491477,-1.28177015,"Rho guanine nucleotide exchange factor 28"
"184","ARHGEF40","58780_s_at",6.74e-08,1.28e-08,-5.98,8.7362658,-0.771,"Rho guanine nucleotide exchange factor 40","237954_x_at",0.000966,0.000243,-4.2593216,-0.009472,-0.66509623,"Rho guanine nucleotide exchange factor 40"
"185","ARHGEF7","202548_s_at",1.12e-21,4.52e-23,-11.5,41.6288944,-0.596,"Rho guanine nucleotide exchange factor 7","239397_at",0.000225,4.4e-05,-4.9120888,1.674754,-0.73411669,"Rho guanine nucleotide exchange factor 7"
"186","ARID1B","238043_at",1.36e-15,1.08e-16,-9.23,27.0510028,-0.787,"AT-rich interaction domain 1B","238043_at",4.03e-07,1.97e-08,-8.0002025,9.361324,-0.91801962,"AT-rich interaction domain 1B"
"187","ARID2","1553349_at",2.28e-06,5.2e-07,-5.22,5.1287142,-0.871,"AT-rich interaction domain 2","1553349_at",1.17e-07,4.02e-09,-8.7003672,10.950544,-1.58762125,"AT-rich interaction domain 2"
"188","ARIH1","201881_s_at",5.51e-18,3.32e-19,10.2,32.7896301,1.11,"ariadne RBR E3 ubiquitin protein ligase 1","201879_at",0.00148,0.000403,-4.0659689,-0.50227,-0.63106615,"ariadne RBR E3 ubiquitin protein ligase 1"
"189","ARL17B","1554245_x_at",0.0012,0.000396,3.62,-1.2242987,0.595,"ADP ribosylation factor like GTPase 17B///ADP ribosylation factor like GTPase 17A","210435_at",0.0165,0.00683,-2.9420945,-3.225875,-0.59924799,"ADP ribosylation factor like GTPase 17B///ADP ribosylation factor like GTPase 17A"
"190","ARL6IP6","225711_at",6.76e-09,1.14e-09,6.45,11.1008935,0.797,"ADP ribosylation factor like GTPase 6 interacting protein 6","225711_at",1.96e-05,2.42e-06,-6.0306438,4.556854,-0.62021576,"ADP ribosylation factor like GTPase 6 interacting protein 6"
"191","ARMC8","236966_at",6.46e-07,1.38e-07,-5.5,6.4198546,-0.948,"armadillo repeat containing 8","236966_at",2.44e-05,3.14e-06,-5.9286804,4.29696,-1.36085451,"armadillo repeat containing 8"
"192","ARMCX2","203404_at",1.55e-05,3.9e-06,-4.77,3.1813455,-0.625,"armadillo repeat containing, X-linked 2","203404_at",1.07e-06,6.75e-08,7.4777972,8.132699,0.90403762,"armadillo repeat containing, X-linked 2"
"193","ARMCX3","222444_at",1.67e-19,8.59e-21,-10.7,36.4171441,-0.636,"armadillo repeat containing, X-linked 3","217858_s_at",5.32e-09,6.22e-11,10.6891119,15.102567,0.80042701,"armadillo repeat containing, X-linked 3"
"194","ARMCX4","1552327_at",0.000973,0.000315,-3.68,-1.0084959,-0.72,"armadillo repeat containing, X-linked 4","227444_at",0.000744,0.000179,-4.3776875,0.294064,-0.89427329,"armadillo repeat containing, X-linked 4"
"195","ARNT","231016_s_at",5.87e-17,4.02e-18,-9.76,30.3168028,-0.624,"aryl hydrocarbon receptor nuclear translocator","233724_at",8.82e-06,9.16e-07,-6.414109,5.52622,-1.17220628,"aryl hydrocarbon receptor nuclear translocator"
"196","ARRB2","203388_at",1.95e-10,2.77e-11,7.13,14.7520127,0.718,"arrestin beta 2","203388_at",4.46e-07,2.24e-08,7.9462696,9.236155,1.19430716,"arrestin beta 2"
"197","ASF1B","218115_at",1.12e-30,1.57e-32,14.9,63.2901966,2.28,"anti-silencing function 1B histone chaperone","218115_at",0.00093,0.000233,4.2763198,0.034041,0.72173827,"anti-silencing function 1B histone chaperone"
"198","ASH1L","222667_s_at",7.02e-10,1.07e-10,-6.89,13.4288722,-1.14,"ASH1 like histone lysine methyltransferase","222667_s_at",0.00171,0.000481,-3.9980296,-0.674347,-0.71806824,"ASH1 like histone lysine methyltransferase"
"199","ASPA","228807_at",3.67e-26,9.02e-28,-13.2,52.3886335,-1.41,"aspartoacylase","228807_at",1.42e-05,1.63e-06,-6.1855736,4.95011,-1.43427326,"aspartoacylase"
"200","ASPH","225008_at",6.11e-12,7.26e-13,-7.77,18.3408949,-0.729,"aspartate beta-hydroxylase","242037_at",0.000457,0.000101,4.5957263,0.855894,0.65206266,"aspartate beta-hydroxylase"
"201","ASPN","224396_s_at",6.19e-07,1.32e-07,-5.51,6.4647708,-0.944,"asporin","224396_s_at",5.33e-05,7.96e-06,5.5680441,3.37185,2.52706477,"asporin"
"202","ASPRV1","235514_at",2.24e-05,5.77e-06,4.68,2.803252,0.964,"aspartic peptidase, retroviral-like 1","235514_at",0.000121,2.13e-05,-5.1905729,2.396444,-0.94222962,"aspartic peptidase, retroviral-like 1"
"203","ASTN2","215407_s_at",1.26e-16,8.95e-18,-9.63,29.5226532,-1.47,"astrotactin 2","209693_at",0.000144,2.61e-05,5.1119795,2.192835,0.82264836,"astrotactin 2"
"204","ASXL1","212238_at",7.03e-07,1.5e-07,5.48,6.3340548,0.808,"additional sex combs like 1, transcriptional regulator","244519_at",3.39e-07,1.57e-08,8.0986864,9.588881,0.83876215,"additional sex combs like 1, transcriptional regulator"
"205","ATF7","228829_at",3e-17,1.99e-18,9.87,31.0143666,1.27,"activating transcription factor 7","235160_at",0.0202,0.00869,-2.8413559,-3.451886,-0.66991032,"activating transcription factor 7"
"206","ATF7IP","218987_at",3.36e-12,3.89e-13,7.88,18.9574101,0.949,"activating transcription factor 7 interacting protein","231825_x_at",1.87e-05,2.28e-06,-6.053534,4.615084,-0.60756761,"activating transcription factor 7 interacting protein"
"207","ATG13","203363_s_at",8.88e-28,1.81e-29,13.8,56.2756242,1.54,"autophagy related 13","203363_s_at",1.54e-06,1.07e-07,7.2849474,7.670192,0.59964419,"autophagy related 13"
"208","ATG5","202511_s_at",1.34e-23,4.37e-25,12.2,46.2391751,0.805,"autophagy related 5","210639_s_at",0.00012,2.09e-05,5.1977824,2.415116,0.58987019,"autophagy related 5"
"209","ATG7","1569827_at",2.65e-10,3.83e-11,7.07,14.433785,1.29,"autophagy related 7","218673_s_at",1.66e-06,1.18e-07,7.2458681,7.575897,0.62949352,"autophagy related 7"
"210","ATG9B","229252_at",6.77e-13,7.24e-14,8.16,20.6169989,1.19,"autophagy related 9B","229252_at",3.75e-07,1.8e-08,-8.0405335,9.454671,-1.49604688,"autophagy related 9B"
"211","ATL1","223340_at",2.49e-18,1.46e-19,-10.3,33.6044793,-0.859,"atlastin GTPase 1","223340_at",1.02e-05,1.1e-06,-6.3422064,5.345501,-0.80695886,"atlastin GTPase 1"
"212","ATL2","237968_at",0.000142,4.08e-05,4.21,0.9281863,0.635,"atlastin GTPase 2","1553603_s_at",2.5e-06,1.98e-07,-7.0311483,7.054445,-0.71640786,"atlastin GTPase 2"
"213","ATP10B","214070_s_at",3.58e-34,3.43e-36,16.2,71.6781051,2.8,"ATPase phospholipid transporting 10B (putative)","220920_at",7.2e-05,1.14e-05,-5.4294486,3.014345,-1.2264037,"ATPase phospholipid transporting 10B (putative)"
"214","ATP11B","1554556_a_at",1.09e-23,3.52e-25,12.3,46.4541471,2.19,"ATPase phospholipid transporting 11B (putative)","238811_at",0.00309,0.000958,-3.7303164,-1.345537,-0.77977322,"ATPase phospholipid transporting 11B (putative)"
"215","ATP13A1","218052_s_at",5.78e-09,9.67e-10,6.48,11.2636535,0.664,"ATPase 13A1","218052_s_at",0.000378,8.09e-05,4.6800195,1.073778,0.64363174,"ATPase 13A1"
"216","ATP13A3","219558_at",8.32e-07,1.8e-07,5.45,6.1614426,1.07,"ATPase 13A3","219558_at",0.0202,0.00867,2.842645,-3.44902,0.75808891,"ATPase 13A3"
"217","ATP13A4","1557136_at",1.07e-40,4.77e-43,18.7,87.3862645,2.01,"ATPase 13A4","1557136_at",0.00346,0.00109,-3.6783451,-1.474359,-1.06615526,"ATPase 13A4"
"218","ATP13A5","243585_at",3.51e-26,8.61e-28,-13.2,52.4341787,-2.73,"ATPase 13A5","243585_at",0.000175,3.28e-05,-5.0248952,1.967141,-2.78688572,"ATPase 13A5"
"219","ATP1A2","203296_s_at",3.41e-24,1.04e-25,-12.5,47.6628791,-2.44,"ATPase Na+/K+ transporting subunit alpha 2","203295_s_at",0.0202,0.00866,-2.8430099,-3.448208,-0.67116385,"ATPase Na+/K+ transporting subunit alpha 2"
"220","ATP2A3","213036_x_at",4.25e-21,1.83e-22,-11.3,40.2384143,-1.65,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3","207522_s_at",3.14e-05,4.25e-06,5.8113702,3.996976,1.29596685,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3"
"221","ATP2C2","214798_at",6.58e-13,7.03e-14,8.17,20.6460651,0.828,"ATPase secretory pathway Ca2+ transporting 2","214798_at",2.79e-06,2.27e-07,-6.976532,6.920918,-1.10196614,"ATPase secretory pathway Ca2+ transporting 2"
"222","ATP5S","238799_at",4.69e-14,4.4e-15,-8.63,23.3858172,-1.14,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)","239859_x_at",5.53e-06,5.21e-07,-6.6401027,6.0908,-0.63240341,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)"
