"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"902","RBMS3","235570_at",2e-17,1.3e-18,-9.94,31.4375198,-0.952,"RNA binding motif single stranded interacting protein 3","235570_at",0.245,0.00403255,-3.19,-3.54424,-0.746,"RNA binding motif single stranded interacting protein 3"
"903","RBP4","222049_s_at",7.11e-08,1.35e-08,-5.97,8.6810369,-2.07,"retinol binding protein 4","219140_s_at",0.385,0.0218343,-2.46,-5.14321,-2.57,"retinol binding protein 4"
"904","RBP7","238066_at",4.13e-15,3.46e-16,-9.05,25.9022535,-0.828,"retinol binding protein 7","238066_at",0.312,0.01170552,-2.73,-4.5609,-0.959,"retinol binding protein 7"
"905","RBPMS","207837_at",3.37e-11,4.38e-12,-7.46,16.5699182,-1.21,"RNA binding protein with multiple splicing","209487_at",0.331,0.01401816,-2.66,-4.73041,-0.616,"RNA binding protein with multiple splicing"
"906","RBPMS2","228802_at",7.62e-12,9.15e-13,-7.73,18.1128012,-1.38,"RNA binding protein with multiple splicing 2","228802_at",0.438,0.03210612,-2.28,-5.4972,-0.989,"RNA binding protein with multiple splicing 2"
"907","RCAN2","203498_at",7.46e-30,1.16e-31,-14.6,61.2986225,-1.47,"regulator of calcineurin 2","203498_at",0.337,0.01472973,-2.63,-4.77682,-0.847,"regulator of calcineurin 2"
"908","RELN","205923_at",3.98e-19,2.13e-20,-10.6,35.5142449,-1.28,"reelin","205923_at",0.496,0.04674678,-2.1,-5.83647,-0.737,"reelin"
"909","RERG","244745_at",3.06e-09,4.98e-10,-6.6,11.91503,-0.703,"RAS like estrogen regulated growth inhibitor","227758_at",0.439,0.03245834,-2.27,-5.50713,-0.631,"RAS like estrogen regulated growth inhibitor"
"910","RERGL","220276_at",2.23e-19,1.16e-20,-10.7,36.1168638,-2.15,"RERG like","220276_at",0.344,0.01550718,-2.61,-4.82495,-1.38,"RERG like"
"911","RETSAT","218124_at",5.37e-16,4.08e-17,-9.39,28.0183572,-0.593,"retinol saturase","218124_at",0.236,0.00318414,-3.29,-3.31606,-0.607,"retinol saturase"
"912","RGS1","202988_s_at",6.59e-35,5.87e-37,16.5,73.4358763,4.01,"regulator of G-protein signaling 1","216834_at",0.288,0.00884493,2.86,-4.29586,1.88,"regulator of G-protein signaling 1"
"913","RGS14","38290_at",1.2e-07,2.35e-08,5.86,8.1408033,0.611,"regulator of G-protein signaling 14","204280_at",0.243,0.00393111,3.2,-3.51967,0.828,"regulator of G-protein signaling 14"
"914","RGS20","210138_at",3.38e-55,2.22e-58,24.9,122.4490092,4.76,"regulator of G-protein signaling 20","210138_at",0.494,0.04616846,2.11,-5.82533,1.65,"regulator of G-protein signaling 20"
"915","RHOBTB3","225202_at",1.08e-34,9.78e-37,-16.4,72.9276849,-1.43,"Rho related BTB domain containing 3","202976_s_at",0.229,0.00284802,-3.33,-3.208,-0.93,"Rho related BTB domain containing 3"
"916","RHOF","219045_at",8.51e-14,8.27e-15,8.53,22.7613276,1.33,"ras homolog family member F, filopodia associated","219045_at",0.196,0.00133803,3.64,-2.47175,0.6,"ras homolog family member F, filopodia associated"
"917","RHPN2","227196_at",1.11e-19,5.61e-21,-10.8,36.8390569,-1.84,"rhophilin Rho GTPase binding protein 2","227196_at",0.503,0.04885617,-2.08,-5.87591,-1.03,"rhophilin Rho GTPase binding protein 2"
"918","RIT1","209882_at",3.08e-41,1.27e-43,18.9,88.7021676,3.35,"Ras like without CAAX 1","209882_at",0.416,0.02767684,2.35,-5.36154,1.08,"Ras like without CAAX 1"
"919","RNASE4","213397_x_at",1.43e-39,7.37e-42,-18.3,84.6631709,-1.21,"ribonuclease A family member 4","213397_x_at",0.211,0.00198312,-3.48,-2.85616,-0.673,"ribonuclease A family member 4"
"920","RNF128","219263_at",2.64e-16,1.94e-17,-9.51,28.7549967,-1.28,"ring finger protein 128, E3 ubiquitin protein ligase","219263_at",0.229,0.00278265,-3.34,-3.18548,-1.07,"ring finger protein 128, E3 ubiquitin protein ligase"
"921","RNF144B","235549_at",6e-13,6.39e-14,8.18,20.7403605,1.35,"ring finger protein 144B","239704_at",0.307,0.01106927,2.76,-4.50819,0.763,"ring finger protein 144B"
"922","RNF150","229024_at",6.35e-14,6.06e-15,-8.58,23.0679539,-1.47,"ring finger protein 150","229024_at",0.236,0.00335569,-3.27,-3.36682,-1.12,"ring finger protein 150"
"923","RNF180","236644_at",2.24e-14,2.02e-15,-8.76,24.1535745,-0.724,"ring finger protein 180","242033_at",0.165,0.00064999,-3.93,-1.76184,-0.796,"ring finger protein 180"
"924","RNF19B","36564_at",6.49e-21,2.85e-22,11.3,39.7998315,1.13,"ring finger protein 19B","36564_at",0.323,0.01292823,2.69,-4.65442,0.89,"ring finger protein 19B"
"925","RNF213","233880_at",8.13e-06,1.98e-06,4.93,3.834299,0.618,"ring finger protein 213","230000_at",0.482,0.04293267,2.14,-5.76016,0.633,"ring finger protein 213"
